,CustomerID,Age,Gender,Job,Education,MaritalStatus,Balance,Tenure,CreditScore,HasLoan,TypeOfLoan,AvgTransactionPerMonth,HasCrCard,EstimatedSalary,NumOfProducts,UseOfDigitalBankServices,KnowledgeAboutServices,InvestmentInBankSchemes,IsActiveMember,Rating,ServicesUsed,ReviewSentiment,KeywordsInComplaint,IssueResolved,CustomerLeft,App,ServiceOffline,EaseOfAccessOfBankingServiceOnline,PaymentDeclineServerIssue,FraudSecurity,Insurance,LoanApproval,WithinTimeframeServiceDelivery,SincereEffortsSolvingProblems,HelpFinancialPlanning,RespondingCustomerRequests,FeelingSafetyTransacting,PersonalAttention,AcceptingResolvingFaults,Clusters
0,0,35,Male,Lawyer,PhD,Single,15656.44,23,375,No,no_loan,32.01,No,54722.09,1,No,1,Yes,Yes,2,Insurance,Positive,"Service, Fees",Yes,0,6,1,6,10,1,1,3,1,3,1,1,2,2,3,special
1,1,64,Female,Lawyer,High School,Single,2283.44,13,385,No,no_loan,22.03,No,71093.67,4,No,2,Yes,Yes,9,"Insurance, Savings Plans",Positive,Delay,Yes,1,6,9,6,10,7,10,3,10,9,6,8,10,8,10,standard
2,2,69,Male,Manager,High School,Single,30980.24,21,526,No,no_loan,13.46,Yes,58744.79,4,Yes,3,No,No,6,Insurance,Negative,Fees,No,0,6,4,8,9,5,9,3,9,6,4,5,9,6,8,special
3,3,30,Female,Businessman,Bachelors,Divorced,85158.42,24,662,Yes,Business Loan,38.38,No,103710.04,2,Yes,3,Yes,Yes,8,Insurance,Negative,"Service, Fees",Yes,0,10,4,9,7,5,10,3,10,8,6,6,10,7,9,special
4,4,44,Female,Teacher,Bachelors,Divorced,160666.46,8,323,Yes,Personal Loan,54.55,No,33151.26,1,No,1,No,No,1,"Insurance, Savings Plans",Negative,"Service, Fees",No,1,6,1,6,10,1,1,2,2,1,1,1,1,1,1,standard
5,5,27,Female,Engineer,Masters,Married,57075.31,12,327,Yes,Car Loan,8.2,Yes,82152.92,1,Yes,3,Yes,No,6,Insurance,Neutral,Fees,No,0,5,4,7,10,5,7,1,6,7,4,5,8,5,7,standard
6,6,49,Male,Artist,High School,Married,125508.97,9,420,No,no_loan,60.78,Yes,63479.13,1,Yes,3,No,No,6,Insurance,Neutral,Service,No,0,6,4,8,10,5,10,3,6,7,6,7,8,5,8,moderate
7,7,58,Male,Artist,Bachelors,Divorced,82820.17,22,789,Yes,Personal Loan,99.31,Yes,134937.94,3,Yes,1,No,No,8,"Insurance, Savings Plans",Negative,Miscommunication,Yes,0,10,4,9,6,8,10,5,8,9,6,6,10,5,10,moderate
8,8,62,Female,Manager,High School,Divorced,47632.03,4,644,No,no_loan,96.45,No,29543.57,3,Yes,4,Yes,No,1,"Insurance, Savings Plans",Neutral,Miscommunication,No,0,2,4,1,8,1,1,3,2,1,1,1,1,1,1,moderate
9,9,20,Male,Businessman,High School,Married,103335.18,13,330,No,no_loan,83.09,No,127860.36,3,No,3,Yes,Yes,5,Savings Plans,Positive,Service,Yes,1,6,3,6,10,4,7,3,5,6,3,6,6,3,7,moderate
